GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C7L001,C7M001,C7M002,C7M003,C8Y001,C9B001,C9B002,C9C001,C9C002,C9D001,C9D002,C9D003,C9D004,C9D005,C9D006,C9D007,C9D008,C9D009,C9D010,C9D011,C9D012,C9D013,C9D014,C9D015,C8N001,C8N002,C8N003,C8N004,C8N005,C8N006,C8N007,C8N008,C8N009,C8N010,C8N011,C8N012,C8N013,C8N014,C8O001
"G0100250","1980","A","3","6","Alabama","01",,"Clarke","025",,,,,,,,,,,,,"07",,,,,,,,"CLARKE COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",27702,0,10460,17242,10019,8916,1004,13359,14343,15806,11827,42,0,0,3,0,4,2,4,0,3,0,0,11,451,343,108,113,26,50,21,20,28,9,11,2,0,387,70
"G0100270","1980","A","3","6","Alabama","01",,"Clay","027",,,,,,,,,,,,,"04",,,,,,,,"CLAY COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",13703,0,0,13703,5328,4767,547,6623,7080,11424,2268,4,0,0,1,0,0,0,3,0,0,0,0,3,226,269,117,34,3,28,19,8,13,2,0,0,1,116,75
"G0100290","1980","A","3","6","Alabama","01",,"Cleburne","029",,,,,,,,,,,,,"04",,,,,,,,"CLEBURNE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",12595,0,3014,9581,4798,4373,405,6183,6412,11925,647,4,0,0,5,0,6,1,0,0,0,0,0,7,193,174,66,49,6,15,7,5,8,1,0,0,0,131,70
"G0100310","1980","A","3","6","Alabama","01",,"Coffee","031",,,,,,,,,,,,,"09",,,,,,,,"COFFEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",38533,0,22132,16401,14582,13430,1134,18780,19753,31636,6532,63,4,0,30,4,8,87,10,26,4,0,0,129,558,854,270,231,74,93,75,233,250,163,78,5,0,328,102
"G0100330","1980","A","3","6","Alabama","01","2650","Colbert","033",,,,,,,,,,,,,"01",,,,,,,,"COLBERT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",54519,30185,0,24334,20796,19181,1449,26246,28273,45209,9146,68,0,0,3,5,6,3,38,5,3,0,0,33,579,919,433,278,102,239,109,211,433,177,45,4,4,482,112
"G0100350","1980","A","3","6","Alabama","01",,"Conecuh","035",,,,,,,,,,,,,"09",,,,,,,,"CONECUH COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15884,0,4171,11713,6000,5456,494,7562,8322,9311,6534,26,0,0,2,1,1,1,0,0,6,0,0,2,293,205,53,40,4,24,2,2,6,7,1,0,0,227,56
"G0100370","1980","A","3","6","Alabama","01",,"Coosa","037",,,,,,,,,,,,,"04",,,,,,,,"COOSA COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0",11377,0,0,11377,4933,3899,376,5568,5809,7411,3950,8,0,0,0,0,0,0,0,0,1,0,0,7,178,178,31,19,1,10,6,1,20,1,0,0,0,138,63
"G0100390","1980","A","3","6","Alabama","01",,"Covington","039",,,,,,,,,,,,,"09",,,,,,,,"COVINGTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",36850,0,17619,19231,15213,13747,1292,17423,19427,31918,4835,35,0,0,7,2,1,10,19,4,0,1,0,18,682,1028,216,136,29,78,21,109,19,8,5,1,0,380,74
"G0100410","1980","A","3","6","Alabama","01",,"Crenshaw","041",,,,,,,,,,,,,"09",,,,,,,,"CRENSHAW COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",14110,0,2639,11471,5503,5024,458,6709,7401,10372,3693,25,0,0,0,0,0,1,6,0,1,3,0,9,447,281,67,48,4,20,7,7,2,1,0,0,0,193,49
"G0100430","1980","A","3","6","Alabama","01",,"Cullman","043",,,,,,,,,,,,,"02",,,,,,,,"CULLMAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",61642,0,13084,48558,24729,21758,1726,30045,31597,60928,528,69,2,0,7,10,4,10,14,21,10,0,3,36,453,1063,523,439,155,231,58,168,189,52,11,1,0,498,106
"G0100450","1980","A","3","6","Alabama","01",,"Dale","045",,,,,,,,,,,,,"09",,,,,,,,"DALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47821,2935,26626,18260,16553,15168,1358,24812,23009,38744,7828,197,1,0,113,8,49,227,21,48,27,27,11,520,491,895,366,687,242,304,179,396,794,293,222,16,4,804,140
"G0100470","1980","A","3","6","Alabama","01",,"Dallas","047",,,,,,,,,,,,,"06",,,,,,,,"DALLAS COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",53981,0,31939,22042,19355,17590,1708,25101,28880,24205,29488,37,0,0,3,1,2,8,19,0,18,0,0,200,1664,2067,575,420,125,209,158,332,141,79,32,7,4,529,80
"G0100490","1980","A","3","6","Alabama","01",,"DeKalb","049",,,,,,,,,,,,,"02",,,,,,,,"DE KALB COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",53658,0,15392,38266,20888,19247,1373,25991,27667,52538,939,90,0,0,4,2,10,3,17,2,6,0,0,47,580,912,467,239,38,134,30,73,62,18,13,2,0,529,89
"G0100510","1980","A","3","6","Alabama","01","5240","Elmore","051",,,,,,,,,,,,,"05",,,,,,,,"ELMORE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",43390,111,10982,32297,17215,14024,2144,21407,21983,33585,9655,28,0,1,17,8,9,7,8,5,4,0,0,63,643,618,159,125,26,93,28,119,147,106,43,6,3,368,84
"G0100530","1980","A","3","6","Alabama","01",,"Escambia","053",,,,,,,,,,,,,"08",,,,,,,,"ESCAMBIA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",38440,0,18481,19959,13557,12653,800,19057,19383,26056,11376,951,0,0,4,3,3,5,6,2,9,1,0,24,597,875,234,174,53,94,57,126,66,16,2,0,0,443,81
"G0100550","1980","A","3","6","Alabama","01","2880","Etowah","055",,,,,,,,,,,,,"03",,,,,,,,"ETOWAH COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",103057,74688,401,27968,39891,36864,2942,49214,53843,88806,13809,121,2,0,48,14,11,25,35,16,5,0,0,165,1284,2655,980,808,133,456,147,425,725,185,56,7,3,884,100
"G0100570","1980","A","3","6","Alabama","01",,"Fayette","057",,,,,,,,,,,,,"05",,,,,,,,"FAYETTE COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","1",18809,0,5414,13395,7514,6710,783,9068,9741,16378,2396,7,0,0,1,5,1,2,4,2,2,0,0,11,291,331,104,97,21,42,19,51,18,3,2,0,1,231,80
"G0100590","1980","A","3","6","Alabama","01",,"Franklin","059",,,,,,,,,,,,,"05",,,,,,,,"FRANKLIN COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",28350,0,11427,16923,11239,10209,1008,13740,14610,26991,1301,22,0,0,2,0,17,1,8,0,0,0,0,8,355,642,225,141,22,70,10,47,62,19,14,10,2,242,85
"G0100610","1980","A","3","6","Alabama","01",,"Geneva","061",,,,,,,,,,,,,"09",,,,,,,,"GENEVA COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",24253,0,7513,16740,9344,8572,741,11750,12503,21019,3082,100,0,0,3,0,0,2,5,1,1,0,2,38,462,629,143,62,13,36,8,7,13,1,0,0,0,256,68
"G0100630","1980","A","3","6","Alabama","01",,"Greene","063",,,,,,,,,,,,,"06",,,,,,,,"GREENE COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0",11021,0,0,11021,3837,3452,349,5079,5942,2405,8596,2,0,0,4,0,0,0,0,0,1,0,0,13,300,279,23,20,2,14,1,8,2,4,0,0,1,149,55
"G0100650","1980","A","3","6","Alabama","01",,"Hale","065",,,,,,,,,,,,,"06",,,,,,,,"HALE COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","1","1","1","0","0","0","0","1","0",15604,0,3248,12356,5568,4850,633,7361,8243,5774,9799,10,7,0,3,0,3,0,0,0,6,0,0,2,468,181,31,19,2,18,3,15,7,1,1,0,0,227,49
"G0100670","1980","A","3","6","Alabama","01",,"Henry","067",,,,,,,,,,,,,"09",,,,,,,,"HENRY COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",15302,0,6482,8820,6228,5258,815,7242,8060,9473,5799,24,0,0,0,0,0,2,2,0,0,0,0,2,327,357,57,28,8,18,6,6,9,1,0,0,0,171,61
"G0100690","1980","A","3","6","Alabama","01",,"Houston","069",,,,,,,,,,,,,"09",,,,,,,,"HOUSTON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",74632,49041,0,25591,28580,26183,2359,35792,38840,57402,16611,233,1,0,51,25,2,18,28,157,0,0,0,104,951,2010,588,517,246,344,191,639,905,299,155,30,8,433,116
"G0100710","1980","A","3","6","Alabama","01",,"Jackson","071",,,,,,,,,,,,,"02",,,,,,,,"JACKSON COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",51407,0,20300,31107,19620,17689,1631,25138,26269,48990,2150,188,1,0,9,5,2,3,21,0,2,0,0,36,492,939,384,313,58,184,120,280,328,89,20,11,5,398,109
"G0100730","1980","A","3","6","Alabama","01","1000","Jefferson","073",,,,,,,,,,,,,"A",,,,,,,,"JEFFERSON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",671324,589320,11141,70863,259843,244215,14820,314899,356425,444426,223759,520,8,7,227,379,131,226,423,206,110,6,7,889,7218,17957,6480,6297,2130,3931,3395,9551,12685,5102,2969,515,163,3584,146
"G0100750","1980","A","3","6","Alabama","01",,"Lamar","075",,,,,,,,,,,,,"05",,,,,,,,"LAMAR COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",16453,0,2609,13844,6378,5787,584,8019,8434,14457,1975,11,0,0,1,0,2,3,1,0,0,1,0,2,334,312,103,59,15,34,17,13,6,3,0,1,0,185,68
"G0100770","1980","A","3","6","Alabama","01","2650","Lauderdale","077",,,,,,,,,,,,,"01",,,,,,,,"LAUDERDALE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",80546,42484,0,38062,30556,28220,1892,38662,41884,72375,7845,99,1,0,16,41,11,26,46,5,5,0,0,76,675,1333,598,609,169,495,247,616,725,359,85,17,7,539,132
"G0100790","1980","A","3","6","Alabama","01",,"Lawrence","079",,,,,,,,,,,,,"01",,,,,,,,"LAWRENCE COUNTY","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0",30170,0,3197,26973,10966,9814,1007,14764,15406,25013,5074,40,0,0,5,0,1,1,5,0,1,0,0,30,344,399,121,102,6,45,21,35,44,1,5,0,1,333,77
"G0100810","1980","A","3","6","Alabama","01",,"Lee","081",,,,,,,,,,,,,"04",,,,,,,,"LEE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",76283,53808,0,22475,29673,26973,2204,38230,38053,56869,18652,104,2,0,38,144,25,48,132,11,9,1,1,247,912,1856,1301,1150,395,602,377,1524,1227,401,147,22,10,505,136
"G0100830","1980","A","3","6","Alabama","01","3440","Limestone","083",,,,,,,,,,,,,"01",,,,,,,,"LIMESTONE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",46005,0,14558,31447,16497,15358,995,22338,23667,39351,6539,36,0,0,7,4,1,7,21,0,2,3,0,34,489,870,351,348,44,149,67,155,248,86,19,1,0,459,103
"G0100850","1980","A","3","6","Alabama","01",,"Lowndes","085",,,,,,,,,,,,,"06",,,,,,,,"LOWNDES COUNTY","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0",13253,0,0,13253,4223,3732,435,6235,7018,3304,9937,2,0,0,3,1,0,0,1,0,0,0,0,5,345,120,23,17,2,4,2,2,2,1,0,0,1,198,49
"G0100870","1980","A","3","6","Alabama","01",,"Macon","087",,,,,,,,,,,,,"05",,,,,,,,"MACON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",26829,0,13327,13502,9230,8273,942,12793,14036,4034,22579,25,0,1,4,6,4,1,48,0,9,0,0,118,479,607,326,245,56,153,61,121,129,37,11,3,0,263,102
"G0100890","1980","A","3","6","Alabama","01","3440","Madison","089",,,,,,,,,,,,,"F",,,,,,,,"MADISON COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",196966,153841,0,43125,71123,67082,3958,96400,100566,154782,39069,439,0,4,183,286,77,410,322,149,43,37,1,1164,1492,2661,1308,1455,593,1051,1164,3366,3931,1615,787,87,22,1230,170
"G0100910","1980","A","3","6","Alabama","01",,"Marengo","091",,,,,,,,,,,,,"06",,,,,,,,"MARENGO COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",25047,0,10451,14596,8911,8117,758,11905,13142,11663,13346,11,0,0,4,4,5,0,2,0,4,0,0,8,661,410,78,66,19,48,23,67,61,9,13,0,0,331,58
"G0100930","1980","A","3","6","Alabama","01",,"Marion","093",,,,,,,,,,,,,"05",,,,,,,,"MARION COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",30041,0,8747,21294,11604,10792,787,14632,15409,29250,701,35,0,0,6,18,2,0,8,1,0,0,0,20,507,679,224,152,36,67,34,82,39,9,1,0,0,309,80
"G0100950","1980","A","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,,,,,"02",,,,,,,,"MARSHALL COUNTY","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",65622,0,31797,33825,26669,23489,2227,31788,33834,64444,1016,62,0,0,8,12,7,10,23,4,0,0,2,34,832,1416,521,381,108,213,117,262,416,131,40,3,5,487,99
"G0100970","1980","A","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,,,,,"D",,,,,,,,"MOBILE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",364980,295493,6026,63461,131936,123298,8003,175266,189714,246693,114787,1148,6,5,144,148,208,102,159,412,63,5,9,1091,4123,8981,2496,3030,1238,1929,1706,4727,5390,1678,726,129,68,3007,137
"G0100990","1980","A","3","6","Alabama","01",,"Monroe","099",,,,,,,,,,,,,"09",,,,,,,,"MONROE COUNTY","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0",22651,0,5674,16977,8083,7242,720,10865,11786,12749,9742,119,0,0,0,0,0,3,26,0,2,0,0,10,440,295,92,66,22,48,17,40,68,19,4,3,1,241,70
"G0101010","1980","A","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,,,,,"C",,,,,,,,"MONTGOMERY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",197038,177607,0,19431,73725,68471,5194,92536,104502,117895,77614,205,0,1,136,90,120,142,134,73,25,7,0,596,3077,5013,1708,1845,463,1002,781,2949,3846,965,755,224,40,1080,137
"G0101030","1980","A","3","6","Alabama","01",,"Morgan","103",,,,,,,,,,,,,"01",,,,,,,,"MORGAN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",90231,54710,0,35521,33811,31369,2389,43836,46395,81131,8816,98,2,1,14,19,6,13,41,2,7,1,0,80,820,1619,607,656,159,402,237,831,927,449,119,19,3,559,132
"G0101050","1980","A","3","6","Alabama","01",,"Perry","105",,,,,,,,,,,,,"06",,,,,,,,"PERRY COUNTY","0","0","0","1","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0",15012,0,4467,10545,5022,4595,414,7026,7986,5971,9019,7,0,0,3,1,1,2,1,0,3,0,0,4,472,253,43,28,2,17,15,6,4,1,1,0,0,214,49
"G0101070","1980","A","3","6","Alabama","01",,"Pickens","107",,,,,,,,,,,,,"05",,,,,,,,"PICKENS COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",21481,0,3207,18274,7796,6997,747,10218,11263,12451,8978,12,0,0,7,1,3,0,8,0,3,0,0,18,507,362,97,83,10,36,9,22,9,1,2,0,0,225,59
"G0101090","1980","A","3","6","Alabama","01",,"Pike","109",,,,,,,,,,,,,"09",,,,,,,,"PIKE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1",28050,0,16158,11892,10200,9525,656,13134,14916,18109,9825,53,0,3,4,11,7,4,1,0,9,2,0,22,726,743,285,276,46,162,115,102,94,16,7,1,0,254,88
"G0101110","1980","A","3","6","Alabama","01",,"Randolph","111",,,,,,,,,,,,,"04",,,,,,,,"RANDOLPH COUNTY","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",20075,0,5896,14179,7847,7045,780,9573,10502,15173,4869,10,0,0,3,0,2,1,6,0,0,0,0,11,348,342,114,45,10,30,12,21,15,3,0,1,0,240,68
"G0101130","1980","A","3","6","Alabama","01","1800","Russell","113",,,,,,,,,,,,,"B",,,,,,,,"RUSSELL COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47356,30034,0,17322,17855,16252,1572,22563,24793,28544,18656,47,1,0,19,2,17,12,4,7,7,4,0,36,1337,1450,382,388,219,221,102,428,323,79,16,1,1,463,89
"G0101150","1980","A","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,,,,,"03",,,,,,,,"ST. CLAIR COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",41205,0,7259,33946,15613,13850,1292,20259,20946,36935,4128,51,1,0,8,8,6,3,6,1,1,9,1,47,268,438,177,188,33,144,54,104,85,28,25,3,3,410,108
"G0101170","1980","A","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,,,,,"03",,,,,,,,"SHELBY COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",66298,16765,6734,42799,24644,21817,2599,32577,33721,58982,6947,106,1,0,23,52,14,14,58,16,4,1,0,80,384,681,311,301,111,220,163,407,347,194,137,68,24,554,140
"G0101190","1980","A","3","6","Alabama","01",,"Sumter","119",,,,,,,,,,,,,"06",,,,,,,,"SUMTER COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0",16908,0,6579,10329,6106,5253,717,8013,8895,5150,11711,5,0,0,2,4,1,0,5,4,4,0,2,20,517,231,95,129,28,30,12,20,10,5,4,0,0,295,55
"G0101210","1980","A","3","6","Alabama","01",,"Talladega","121",,,,,,,,,,,,,"03",,,,,,,,"TALLADEGA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0",73826,476,36920,36430,26059,24061,1568,35411,38415,50922,22745,40,0,1,13,15,7,11,22,1,2,5,1,41,1114,1986,637,435,119,233,123,269,283,40,20,3,0,688,88
"G0101230","1980","A","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,,,,,"04",,,,,,,,"TALLAPOOSA COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",38676,0,18293,20383,15343,13275,1246,18533,20143,28096,10451,13,0,0,2,1,3,1,19,0,5,0,0,85,796,1016,263,182,40,76,64,99,80,14,9,1,1,341,76
"G0101250","1980","A","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,,,,,"E",,,,,,,,"TUSCALOOSA COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",137541,99554,0,37987,50319,46820,3387,66737,70804,99335,37405,101,3,3,44,106,53,69,83,40,12,0,3,284,1404,3239,1585,2276,906,1092,759,2116,1879,555,243,34,9,895,136
"G0101270","1980","A","3","6","Alabama","01","1000","Walker","127",,,,,,,,,,,,,"03",,,,,,,,"WALKER COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",68660,0,17832,50828,27060,23817,2481,33283,35377,63547,4839,98,0,1,8,4,3,16,24,44,11,0,1,64,721,1192,494,357,71,225,79,173,236,75,18,1,3,770,96
"G0101290","1980","A","3","6","Alabama","01",,"Washington","129",,,,,,,,,,,,,"07",,,,,,,,"WASHINGTON COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0",16821,0,0,16821,5917,5272,574,8248,8573,11280,4726,779,0,0,3,0,2,0,2,1,1,0,0,27,112,125,34,16,6,21,5,2,10,1,1,1,0,230,72
