StoreNbr,StoreName,StoreType,BuildingAddress,BuildingCity,BuildingStateProv,BuildingPostalCode,SizeSqFt,OpenDate,Latitude,Longitude
1,ROGERS AR,Supercenter,2110 W WALNUT ST,ROGERS,AR,72756,201314,7/2/1962,36.33405473,-94.1481616
2,HARRISON AR,Supercenter,161 N. WALMART DRIVE,HARRISON,AR,72601,181701,8/1/1964,36.238821,-93.114328
3,COMMERCE GA,Supercenter,30983 HIGHWAY 441 S,COMMERCE,GA,30529,151980,4/12/1988,34.24541941,-83.45852572
4,SILOAM SPRINGS AR,Supercenter,2901 HIGHWAY 412 E,SILOAM SPRINGS,AR,72761,184435,8/1/1965,36.183359,-94.539153
5,CONWAY AR,Supercenter,1155 HWY 65 NORTH,CONWAY,AR,72032,180161,5/1/1972,35.11069684,-92.43957628
6,YBM,Supercenter,702 SW 8TH ST,BENTONVILLE,AR,72716,0,8/1/1997,36.36435736,-94.21652628
7,NORTH LITTLE ROCK AR,Supercenter,9053 HIGHWAY 107,SHERWOOD,AR,72120,206528,10/1/1967,34.83651552,-92.23172861
8,MORRILTON AR,Supercenter,1621 NORTH BUSINESS 9,MORRILTON,AR,72110,123369,10/1/1967,35.23866,-92.67108
9,SIKESTON MO,Supercenter,1303 S MAIN ST,SIKESTON,MO,63801,205540,3/1/1968,36.89518891,-89.59490894
10,TAHLEQUAH OK,Supercenter,2020 S MUSKOGEE AVE,TAHLEQUAH,OK,74464,182721,7/30/1968,35.89023321,-94.97725736
11,MOUNTAIN HOME AR,Supercenter,65 WAL MART DR,MOUNTAIN HOME,AR,72653,220167,3/1/1968,36.35262,-92.3667
12,CLAREMORE OK,Supercenter,1500 S LYNN RIGGS BLVD,CLAREMORE,OK,74017,173675,7/1/1968,36.29465156,-95.62952271
13,CARTHAGE MO,Supercenter,2705 GRAND AVE,CARTHAGE,MO,64836,152425,11/1/1968,37.14226376,-94.31056587
14,LEBANON MO,Supercenter,1800 S JEFFERSON AVE,LEBANON,MO,65536,179958,4/1/1969,37.65747869,-92.64936983
15,WEST PLAINS MO,Supercenter,1310 PREACHER ROE BLVD,WEST PLAINS,MO,65775,201788,5/6/1969,36.71547776,-91.87369909
16,VAN BUREN AR,Supercenter,2214 FAYETTEVILLE RD,VAN BUREN,AR,72956,188222,4/1/1969,35.46909215,-94.3538303
17,NEOSHO MO,Supercenter,3200 LUSK DR,NEOSHO,MO,64850,180790,5/1/1969,36.863757,-94.373223
18,NEWPORT AR,Supercenter,1211 HIGHWAY 367 N,NEWPORT,AR,72112,68907,11/1/1969,35.61644886,-91.25197013
19,POPLAR BLUFF MO,Supercenter,333 S WESTWOOD BLVD,POPLAR BLUFF,MO,63901,212503,4/3/1990,36.75600463,-90.40810704
20,CLINTON MO,Supercenter,1712 E OHIO ST,CLINTON,MO,64735,151980,10/1/1970,38.36614398,-93.75165801
21,ST ROBERT MO /WAYNESVILLE,Supercenter,185 SAINT ROBERT BLVD,SAINT ROBERT,MO,65584,184435,3/1/1970,37.82633387,-92.14653042
22,PRYOR OK,Supercenter,4901 S MILL ST,PRYOR,OK,74361,183993,10/1/1970,36.29894,-95.310823
23,RUSTON LA,Supercenter,1201 N SERVICE RD E,RUSTON,LA,71270,199026,11/1/1970,32.48418,-92.6682
24,JACKSONVILLE AR,Supercenter,2000 JOHN HARDEN DR,JACKSONVILLE,AR,72076,219750,4/1/1971,34.88531837,-92.11180749
25,MEXICO MO,Supercenter,4820 S CLARK ST,MEXICO,MO,65265,183917,2/1/1971,39.11865024,-91.89256775
26,LEAVENWORTH KS,Supercenter,5000 10TH AVE,LEAVENWORTH,KS,66048,184129,11/1/1970,39.26917097,-94.92808087
27,SALEM MO,Supercenter,1101 W HIGHWAY 32,SALEM,MO,65560,109630,2/1/1971,37.60836,-91.5243
28,MIAMI OK,Supercenter,2415 N MAIN ST,MIAMI,OK,74354,191276,5/1/1971,36.90660347,-94.87759632
29,JEFFERSON CITY MO,Supercenter,724 STADIUM WEST BLV,JEFFERSON CITY,MO,65109,215308,8/24/1971,38.5554,-92.28054
30,DEXTER MO,Supercenter,2025 W BUSINESS US HIGHWAY 60,DEXTER,MO,63841,158129,11/1/1971,36.794865,-89.959662
31,POTEAU OK,Supercenter,3108 N BROADWAY ST,POTEAU,OK,74953,179648,6/1/1971,35.08733636,-94.63042783
32,BRANSON MO,Wal-Mart,2050 WEST HWY 76,BRANSON,MO,65616,114188,6/1/1971,36.64074192,-93.25978186
33,NASHVILLE AR,Supercenter,1710 S 4TH ST,NASHVILLE,AR,71852,111075,6/1/1971,33.945803,-93.850288
34,NEVADA MO,Supercenter,2250 LINCOLN AVE,NEVADA,MO,64772,155078,11/1/1971,37.838803,-94.36126
35,MANHATTAN KS,Supercenter,101 BLUEMONT AVE,MANHATTAN,KS,66502,216557,10/1/1971,39.18657903,-96.5588158
36,PARAGOULD AR,Supercenter,2802 W KINGSHIGHWAY,PARAGOULD,AR,72450,181183,11/1/1971,36.05981129,-90.52621689
37,FARMINGTON MO,Supercenter,707 WALTON DR,FARMINGTON,MO,63640,186299,9/1/1971,37.78689857,-90.43594625
38,IDABEL OK,Supercenter,1907 SE WASHINGTON ST,IDABEL,OK,74745,115117,12/9/1971,33.89560015,-94.8011926
39,FORT SCOTT KS,Supercenter,2500 S MAIN ST,FORT SCOTT,KS,66701,159492,3/1/1972,37.82274,-94.70154
40,MOBERLY MO,Supercenter,1301 E HIGHWAY 24,MOBERLY,MO,65270,177538,11/1/1971,39.418214,-92.439228
41,BARTLESVILLE OK,Supercenter,4000 SE GREEN COUNTRY RD,BARTLESVILLE,OK,74006,199018,5/1/1972,36.7394387,-95.93254307
42,COFFEYVILLE KS,Supercenter,1863 CR 5300,COFFEYVILLE,KS,67337,149161,2/1/1973,37.039645,-95.630692
43,JUNCTION CITY KS,Supercenter,521 E CHESTNUT ST,JUNCTION CITY,KS,66441,165985,5/1/1972,39.02172899,-96.82346313
44,ELDON MO,Wal-Mart,1802 S BUSINESS 54,ELDON,MO,65026,47558,2/1/1972,38.33444823,-92.58606003
45,JONESBORO AR,Supercenter,1815 E HIGHLAND DR,JONESBORO,AR,72401,177118,8/1/1972,35.82122051,-90.68509898
46,BOLIVAR MO,Supercenter,2451 S SPRINGFIELD AVE,BOLIVAR,MO,65613,191741,8/1/1972,37.59546649,-93.40270869
47,SALLISAW OK,Supercenter,1101 W RUTH AVE,SALLISAW,OK,74955,155850,7/1/1972,35.458935,-94.786707
48,MONETT MO,Supercenter,885 E US HIGHWAY 60,MONETT,MO,65708,149704,11/1/1972,36.918466,-93.9275
49,HUGO OK,Supercenter,1911 E JACKSON ST,HUGO,OK,74743,107356,10/1/1972,34.00566,-95.513972
50,VINITA OK,Supercenter,268 S 7TH ST,VINITA,OK,74301,108748,9/1/1973,36.642087,-95.156105
51,FULTON MO,Supercenter,1701 N BLUFF ST,FULTON,MO,65251,109630,5/1/1973,38.86402499,-91.9439972
52,HOT SPRINGS AR,Supercenter,1601 ALBERT PIKE RD,HOT SPRINGS,AR,71913,200908,7/1/1972,34.49300314,-93.08959803
54,SPRINGDALE AR,Supercenter,2004 S PLEASANT ST,SPRINGDALE,AR,72764,184412,6/1/1972,36.16726347,-94.14370175
55,BOONEVILLE AR,Wal-Mart,1555 E MAIN ST,BOONEVILLE,AR,72927,34875,10/1/1972,35.14198486,-93.90223945
56,AVA MO,Supercenter,1309 NW 12TH AVE,AVA,MO,65608,107356,8/1/1973,36.96233834,-92.67705656
57,WALNUT RIDGE AR,Wal-Mart,1600 W MAIN ST,WALNUT RIDGE,AR,72476,62928,10/1/1972,36.09072,-90.95958
58,RUSSELLVILLE AR,Supercenter,2409 E MAIN ST,RUSSELLVILLE,AR,72802,203091,5/1/1973,35.27826244,-93.10664679
59,JOPLIN MO,Supercenter,1501 S RANGE LINE RD,JOPLIN,MO,64804,184312,5/8/1973,37.07596516,-94.47753142
60,TROY MO,Supercenter,101 HIGHWAY 47 E,TROY,MO,63379,147678,3/1/1975,38.98679633,-90.981174
61,WARRENSBURG MO,Supercenter,301 E COOPER ST,WARRENSBURG,MO,64093,202597,11/1/1972,38.77922914,-93.73718159
62,BLYTHEVILLE AR,Supercenter,3700 E HIGHWAY 18,BLYTHEVILLE,AR,72315,183211,11/1/1972,35.92118644,-89.81742838
63,WAGONER OK,Supercenter,410 S DEWEY AVE,WAGONER,OK,74467,98283,9/1/1973,35.95715627,-95.3952602
64,BROWNSVILLE TN,Supercenter,1100 S DUPREE AVE,BROWNSVILLE,TN,38012,155017,2/1/1973,35.597482,-89.271036
65,SULLIVAN MO,Supercenter,350 PARK RIDGE RD,SULLIVAN,MO,63080,146398,7/3/1973,38.22110799,-91.15782119
66,CLARKSVILLE AR,Supercenter,1230 MARKET STREET,CLARKSVILLE,AR,72830,155083,8/1/1973,35.45042932,-93.46540712
67,MENA AR,Supercenter,600 HIGHWAY 71 N,MENA,AR,71953,146397,7/1/1973,34.58640039,-94.22570895
68,WYNNE AR,Supercenter,800 HIGHWAY 64 E,WYNNE,AR,72396,111075,8/1/1973,35.25159646,-90.97316291
69,FESTUS MO,Supercenter,650 S TRUMAN BLVD,FESTUS,MO,63028,199026,12/1/1973,38.21274128,-90.39100104
70,WEST MEMPHIS AR,Supercenter,798 W SERVICE RD,WEST MEMPHIS,AR,72301,199026,7/1/1974,35.146563,-90.177352
71,POCAHONTAS AR,Supercenter,1415 HIGHWAY 67 S,POCAHONTAS,AR,72455,128435,11/1/1973,36.3105,-91.03878
72,PITTSBURG KS,Supercenter,2710 N BROADWAY ST,PITTSBURG,KS,66762,175499,1/1/1974,37.43337961,-94.70482048
73,SAPULPA OK,Supercenter,1002 W TAFT ST,SAPULPA,OK,74066,187315,10/1/1974,36.000197,-96.113994
74,OSCEOLA AR,Supercenter,2720 W KEISER AVE,OSCEOLA,AR,72370,90210,11/1/1973,35.69820903,-90.0263261
75,PINEVILLE LA,Supercenter,3636 MONROE HWY,PINEVILLE,LA,71360,205187,11/13/1984,31.36390085,-92.41117804
76,BERRYVILLE AR,Supercenter,1000 W TRIMBLE AVE,BERRYVILLE,AR,72616,146398,11/1/1973,36.36702,-93.58014
77,TAYLOR TX,Supercenter,3701 N MAIN ST,TAYLOR,TX,76574,155078,10/30/1979,30.59941447,-97.41608121
78,MARSHFIELD MO,Supercenter,14740 STATE HWY #38,MARSHFIELD,MO,65706,158107,9/1/1973,37.339115,-92.905687
79,WEST JOPLIN MO,Supercenter,2623 W 7TH ST,JOPLIN,MO,64801,185924,4/1/1974,37.1085,-94.51506
80,COLUMBIA MO,Supercenter,3001 W BROADWAY,COLUMBIA,MO,65203,166746,6/1/1973,38.95499124,-92.38206859
81,STILWELL OK,Supercenter,RR 6 BOX 1895,STILWELL,OK,74960,100064,6/1/1973,35.817757,-94.62605
82,PERRYVILLE MO,Supercenter,1750 S PERRYVILLE BLVD,PERRYVILLE,MO,63775,109630,4/1/1974,37.69845101,-89.89873361
83,MAGNOLIA AR,Supercenter,60 HIGHWAY 79 N,MAGNOLIA,AR,71753,155078,8/1/1974,33.24464912,-93.23035396
85,BENTON AR,Supercenter,17309 INTERSTATE 30 S,BENTON,AR,72015,202307,4/1/1974,34.566563,-92.583045
86,SPRINGFIELD MO,Supercenter,2825 N KANSAS EXPY,SPRINGFIELD,MO,65803,181193,12/1/1973,37.2486124,-93.31323485
87,MINDEN LA,Supercenter,1379 HOMER RD,MINDEN,LA,71055,186291,7/1/1974,32.617484,-93.281086
88,MOUNTAIN GROVE MO,Supercenter,2100 N MAIN AVE,MOUNTAIN GROVE,MO,65711,132772,2/1/1974,37.14992437,-92.26266037
89,CAMDENTON MO,Supercenter,94 CECIL ST,CAMDENTON,MO,65020,183917,2/1/1974,38.0253,-92.77866
90,GROVE OK,Supercenter,2115 S MAIN ST,GROVE,OK,74344,146397,4/1/1974,36.589899,-94.77219
91,FORREST CITY AR,Supercenter,205 DEADRICK RD,FORREST CITY,AR,72335,146397,9/1/1974,35.02978774,-90.79102644
92,AURORA MO,Supercenter,3020 S ELLIOTT AVE,AURORA,MO,65605,152339,4/1/1974,36.94572086,-93.71853513
93,COVINGTON TN,Supercenter,201 LANNY BRIDGES AVE,COVINGTON,TN,38019,203819,10/1/1974,35.557255,-89.657223
94,MILLINGTON TN,Supercenter,8445 US HIGHWAY 51 N,MILLINGTON,TN,38053,200084,7/1/1974,35.35690779,-89.89485525
95,DESLOGE MO,Supercenter,407 NO. STATE ST,DESLOGE,MO,63601,187935,10/1/1974,37.88373108,-90.51344023
96,HARRISONVILLE MO,Supercenter,1700 N STATE ROUTE 291,HARRISONVILLE,MO,64701,203737,10/1/1974,38.67242918,-94.36600596
97,RIPLEY TN,Supercenter,628 HIGHWAY 51 N,RIPLEY,TN,38063,118074,11/1/1974,35.76320231,-89.54433186
98,BASTROP LA,Supercenter,6091 MER ROUGE RD,BASTROP,LA,71220,184398,2/1/1975,32.776951,-91.913001
99,UNION MO,Supercenter,1445 E CENTRAL CT,UNION,MO,63084,109530,2/1/1976,38.43342457,-90.97224336
100,BENTONVILLE AR,Supercenter,406 S WALTON BLVD,BENTONVILLE,AR,72712,179425,10/1/1974,36.36829817,-94.22449171
101,ROLLA MO,Supercenter,500 S BISHOP AVE,ROLLA,MO,65401,167239,2/1/1976,37.93869709,-91.77741891
102,STUTTGART AR,Supercenter,406 E 22ND ST,STUTTGART,AR,72160,109530,9/1/1974,34.47746031,-91.54889844
103,SHAWNEE OK,Supercenter,196 SHAWNEE MALL DR,SHAWNEE,OK,74804,206457,8/1/1975,35.405591,-96.853291
104,MILAN TN,Supercenter,15427 S FIRST ST,MILAN,TN,38358,187414,7/1/1974,35.87470617,-88.74456635
105,CORINTH MS,Supercenter,2301 S HARPER RD,CORINTH,MS,38834,201998,8/1/1974,34.9087279,-88.53438699
106,FULTON KY,Supercenter,1405 MIDDLE RD,FULTON,KY,42041,107356,8/1/1974,36.5319,-88.94748
107,MARTIN TN,Supercenter,134 COURTRIGHT RD,MARTIN,TN,38237,158075,10/1/1974,36.35408383,-88.88221735
108,GUTHRIE OK,Supercenter,1608 S DIVISION ST,GUTHRIE,OK,73044,160660,2/1/1975,35.86314818,-97.42530101
109,CAMERON MO,Supercenter,2000 N WALNUT ST,CAMERON,MO,64429,115021,2/1/1975,39.735615,-94.243823
111,CHANUTE KS,Supercenter,2700 S SANTA FE AVE,CHANUTE,KS,66720,154756,11/1/1975,37.6516102,-95.45253415
112,STARKVILLE MS,Supercenter,1010 HIGHWAY 12 W,STARKVILLE,MS,39759,205863,4/1/1975,33.44102127,-88.85357007
113,CHICKASHA OK,Supercenter,2001 S 1ST ST,CHICKASHA,OK,73018,188242,7/1/1975,35.03230962,-97.9324927
114,BOONEVILLE MS,Supercenter,300 WALMART CIR,BOONEVILLE,MS,38829,149595,4/1/1975,34.654538,-88.559614
115,WEST POINT MS,Supercenter,1313 HIGHWAY 45 S,WEST POINT,MS,39773,156438,9/1/1976,33.58340339,-88.65914849
116,VIVIAN LA,Wal-Mart,929 S PINE ST,VIVIAN,LA,71082,49950,8/1/1975,32.85538858,-93.98410915
117,BROKEN BOW OK,Wal-Mart,501 S PARK DR,BROKEN BOW,OK,74728,52323,6/1/1975,34.022133,-94.73948167
118,AMORY MS,Supercenter,1515 HIGHWAY 278 E,AMORY,MS,38821,146398,4/1/1976,33.96677822,-88.45788911
119,BATESVILLE AR,Supercenter,3150 HARRISON ST,BATESVILLE,AR,72501,185101,3/1/1976,35.76472787,-91.61393561
120,HUMBOLDT TN,Supercenter,2716 N CENTRAL AVE,HUMBOLDT,TN,38343,187414,3/1/1976,35.84150173,-88.91481458
121,OKMULGEE OK,Supercenter,1800 S WOOD DR,OKMULGEE,OK,74447,152222,9/1/1975,35.60773896,-95.96190682
122,JACKSON MO,Supercenter,3051 E JACKSON BLVD,JACKSON,MO,63755,112120,11/1/1975,37.3641842,-89.63351566
123,SEMINOLE OK,Supercenter,1500 E WRANGLER BLVD,SEMINOLE,OK,74868,111075,6/1/1975,35.24667713,-96.6887454
124,LITTLE ROCK AR,Supercenter,8801 BASELINE RD,LITTLE ROCK,AR,72209,201372,3/1/1975,34.667762,-92.37712761
125,FORT SMITH (S) AR,Supercenter,2425 SOUTH ZERO ST,FORT SMITH,AR,72901,224132,4/1/1975,35.366,-94.413642
126,LITTLE ROCK AR,Supercenter,2700 S SHACKLEFORD RD,LITTLE ROCK,AR,72205,177557,3/1/1976,34.72873618,-92.39497434
127,MALVERN AR,Supercenter,1910 MARTIN LUTHER KING BLVD,MALVERN,AR,72104,158128,2/1/1976,34.40154,-92.83632
128,JONESBORO (W) AR,Supercenter,1911 W PARKER RD,JONESBORO,AR,72404,149704,8/1/1978,35.8066538,-90.67504407
129,ARDMORE OK,Supercenter,1715 N COMMERCE ST,ARDMORE,OK,73401,187572,7/1/1975,34.19328649,-97.14323964
130,MUSKOGEE OK,Supercenter,1000 W SHAWNEE ST,MUSKOGEE,OK,74401,203091,7/1/1975,35.76988275,-95.37451249
131,MT PLEASANT TX,Supercenter,2311 S JEFFERSON AVE,MOUNT PLEASANT,TX,75455,172753,11/1/1975,33.156354,-94.96891
132,KINGFISHER OK,Supercenter,200 STARLITE DR,KINGFISHER,OK,73750,99581,2/1/1976,35.848233,-97.936158
133,ASHDOWN AR,Supercenter,297 HWY 32 BY-PASS E,ASHDOWN,AR,71822,99581,5/1/1976,33.674109,-94.125689
134,ELK CITY OK,Supercenter,20221 E 1110 COUNTY RD,ELK CITY,OK,73644,177557,8/1/1976,35.410421,-99.413649
135,CHILLICOTHE MO,Supercenter,1000 GRAVES ST,CHILLICOTHE,MO,64601,159926,4/1/1976,39.77513682,-93.55412124
136,BLACKWELL OK EF,Wal-Mart,1219 W DOOLIN AVE,BLACKWELL,OK,74631,41400,4/1/1976,36.81133418,-97.29925424
137,STILLWATER OK,Supercenter,111 N PERKINS RD,STILLWATER,OK,74075,190096,10/1/1976,36.12341737,-97.05136865
138,SPRINGFIELD (NE) MO,Supercenter,1923 E KEARNEY ST,SPRINGFIELD,MO,65803,184109,11/1/1977,37.24138639,-93.25865916
139,PURCELL OK,Supercenter,2015 S GREEN AVE,PURCELL,OK,73080,155017,7/1/1976,34.99011963,-97.36789828
140,LUFKIN TX,Supercenter,2500 DANIEL MCCALL DR,LUFKIN,TX,75904,221803,9/1/1976,31.29951316,-94.73109686
141,FORT SMITH AR,Supercenter,8301 ROGERS AVE,FORT SMITH,AR,72903,200084,5/1/1976,35.34875715,-94.34152196
143,BENTON KY,Supercenter,310 W 5TH ST,BENTON,KY,42025,154450,6/1/1976,36.86623929,-88.35755343
144,FAYETTEVILLE AR (WEST),Supercenter,2875 W MRTN LUTHER K,FAYETTEVILLE,AR,72704,217969,9/1/1976,36.080874,-94.201559
145,BOWLING GREEN MO,Supercenter,3 TOWN CENTER DR,BOWLING GREEN,MO,63334,100167,10/1/1976,39.339811,-91.197015
146,GILMER TX,Supercenter,1923 N WOOD ST,GILMER,TX,75644,110812,3/1/1976,32.74606341,-94.94018779
147,DENISON TX,Supercenter,401 N US HIGHWAY 75,DENISON,TX,75020,171059,7/1/1976,33.750177,-96.559463
148,PARIS TX,Supercenter,3855 LAMAR AVE,PARIS,TX,75462,206532,6/1/1976,33.66189438,-95.50592166
149,JONESBORO LA,Supercenter,184 OLD WINNFIELD RD,JONESBORO,LA,71251,110610,3/1/1977,32.22835905,-92.70827104
150,WOODWARD OK,Supercenter,3215 WILLIAMS AVE,WOODWARD,OK,73801,179958,10/1/1976,36.41477619,-99.38202891
151,MCALESTER OK,Supercenter,432 S GEORGE NIGH EXPY,MCALESTER,OK,74501,205679,3/1/1977,34.9161778,-95.74506509
152,DESOTO MO,Supercenter,12862 STATE ROUTE 21,DE SOTO,MO,63020,155078,12/1/1976,38.15453021,-90.57463911
153,NEW ALBANY MS,Supercenter,202 PARK PLAZA DR,NEW ALBANY,MS,38652,130859,10/1/1976,34.49211559,-89.02893615
155,SENATOBIA MS,Supercenter,5219 HIGHWAY 51 N,SENATOBIA,MS,38668,146398,8/1/1977,34.65318,-89.86986
156,CARUTHERSVILLE MO,Wal-Mart,STATE HWY 84 WEST,CARUTHERSVILLE,MO,63830,48847,1/1/1977,36.185729,-89.658756
157,SEARCY AR,Supercenter,3509 E RACE AVE,SEARCY,AR,72143,186789,1/1/1977,35.25033031,-91.6947628
158,BONHAM TX,Supercenter,2021 N STATE HIGHWAY 121,BONHAM,TX,75418,109450,5/1/1977,33.62302371,-96.19126188
159,COLUMBIA MO,Supercenter,415 CONLEY RD,COLUMBIA,MO,65201,198419,3/1/1977,38.95610737,-92.29422282
160,ASH FLAT AR,Supercenter,219 HIGHWAY 412,ASH FLAT,AR,72513,128435,1/1/1977,36.222517,-91.61178
161,HUNTINGDON TN,Supercenter,180 VETERANS DR N,HUNTINGDON,TN,38344,107356,5/1/1977,36.00198377,-88.44680722
162,ANADARKO OK,Supercenter,1201 W PETREE RD,ANADARKO,OK,73005,109450,6/1/1977,35.072673,-98.245206
163,NACOGDOCHES TX,Supercenter,4810 NORTH ST,NACOGDOCHES,TX,75965,198308,2/1/1977,31.64902917,-94.65522747
164,PONTOTOC MS,Supercenter,100 MCCORD RD,PONTOTOC,MS,38863,158075,2/1/1977,34.28577261,-89.02524428
165,HENDERSON TX,Supercenter,2121 US HIGHWAY 79 S,HENDERSON,TX,75654,152474,5/1/1977,32.13207194,-94.80460241
166,HOUSTON MO,Supercenter,1433 S SAM HOUSTON BLVD,HOUSTON,MO,65483,107356,3/1/1977,37.32006743,-91.9587598
167,CROSSETT AR,Supercenter,910 UNITY RD,CROSSETT,AR,71635,155070,4/1/1977,33.129096,-91.960667
168,OWASSO OK,Supercenter,12101 E 96TH ST N,OWASSO,OK,74055,206651,2/7/1978,36.29307075,-95.84491718
169,LONOKE AR,Supercenter,322 BROWNSVILLE LOOP,LONOKE,AR,72086,100167,9/1/1977,34.81011255,-91.89504208
170,NATCHITOCHES LA,Supercenter,925 KEYSER AVE,NATCHITOCHES,LA,71457,202307,10/1/1977,31.75256295,-93.06655268
171,CAMDEN AR,Supercenter,950 CALIFORNIA AVE SW,CAMDEN,AR,71701,153865,11/1/1977,33.56926486,-92.83836933
172,WASHINGTON MO,Supercenter,1701 A ROY DR,WASHINGTON,MO,63090,203881,7/1/1977,38.546118,-91.015131
173,POTOSI MO,Supercenter,#1 MEMORIAL DRIVE,POTOSI,MO,63664,111607,10/1/1977,37.938045,-90.784876
174,ROCKLEDGE FL,Supercenter,2700 CLEARLAKE RD,COCOA,FL,32922,207498,10/15/1985,28.395524,-80.75371479
175,COLLIERVILLE TN,Supercenter,560 W POPLAR AVE,COLLIERVILLE,TN,38017,199533,11/1/1977,35.04599056,-89.6807112
176,RIPLEY MS,Wal-Mart,822 CITY AVE S,RIPLEY,MS,38663,59022,7/1/1977,34.72294928,-88.9493269
177,PARIS TN,Supercenter,1210 MINERAL WELLS AVE,PARIS,TN,38242,186337,11/1/1977,36.28501516,-88.30893925
178,ALVA OK,Supercenter,914 E OKLAHOMA BLVD,ALVA,OK,73717,109450,11/1/1977,36.79777271,-98.67207109
179,SPRINGFIELD MO,Supercenter,3520 W SUNSHINE ST,SPRINGFIELD,MO,65807,158849,2/1/1977,37.18075833,-93.35233094
180,JACKSONVILLE TX,Supercenter,1311 S JACKSON ST,JACKSONVILLE,TX,75766,151315,3/14/1978,31.95249716,-95.26421416
181,NEW BOSTON TX,Supercenter,800 JAMES BOWIE DR,NEW BOSTON,TX,75570,155070,8/8/1978,33.45708,-94.45092
182,GREENVILLE MS,Supercenter,1831 HIGHWAY 1 S,GREENVILLE,MS,38701,204167,6/1/1979,33.28878,-90.99072
183,LOUISVILLE MS,Supercenter,159 HIGHWAY 15 S,LOUISVILLE,MS,39339,99704,10/1/1977,33.125133,-89.055051
184,BLUE SPRINGS MO,Supercenter,600 NE CORONADO,BLUE SPRINGS,MO,64014,203091,2/1/1978,39.02673839,-94.25472123
185,GAINESVILLE TX,Supercenter,1800 LAWRENCE ST,GAINESVILLE,TX,76240,208003,7/21/1993,33.64115665,-97.13712297
186,EL DORADO KS,Supercenter,301 S VILLAGE RD,EL DORADO,KS,67042,187437,11/1/1977,37.82029218,-96.88956905
188,CAPE GIRARDEAU MO,Supercenter,3439 WILLIAM ST,CAPE GIRARDEAU,MO,63701,172054,7/1/1977,37.318976,-89.540608
189,KIRKSVILLE MO,Supercenter,2206 N BALTIMORE ST,KIRKSVILLE,MO,63501,194959,7/1/1977,40.21499458,-92.58229481
190,KENNETT MO,Supercenter,1500 1ST ST,KENNETT,MO,63857,146397,7/1/1977,36.23981,-90.047625
192,COLUMBIA TN,Supercenter,2200 BROOKMEADE DR,COLUMBIA,TN,38401,224043,9/15/1981,35.609931,-87.048941
194,BAYTOWN TX,Supercenter,4900 GARTH RD,BAYTOWN,TX,77521,224043,1/22/1985,29.77632375,-94.97542791
195,EXCELSIOR SPRINGS MO,Supercenter,2203 PATSY LN,EXCELSIOR SPRINGS,MO,64024,207790,7/1/1977,39.33146737,-94.26332506
196,CARBONDALE IL,Supercenter,1450 E MAIN ST,CARBONDALE,IL,62901,201626,7/1/1977,37.72818783,-89.20586058
197,MACOMB IL,Supercenter,1730 E JACKSON ST,MACOMB,IL,61455,209840,7/1/1977,40.45868667,-90.64113849
198,SALEM IL,Supercenter,1870 W MAIN ST,SALEM,IL,62881,155078,7/1/1977,38.62262967,-88.98668172
199,LINCOLN IL,Supercenter,825 MALERICH DR,LINCOLN,IL,62656,193985,7/1/1977,40.153604,-89.369109
200,JACKSONVILLE IL,Supercenter,1941 W MORTON AVE,JACKSONVILLE,IL,62650,206449,7/1/1977,39.722999,-90.26243887
201,BELLEVILLE IL,Supercenter,2608 GREEN MOUNT COMMONS DR,BELLEVILLE,IL,62221,203748,7/1/1977,38.5209534,-89.92610503
203,BROOKFIELD MO,Supercenter,937 PARK CIRCLE DR,BROOKFIELD,MO,64628,110715,8/29/1978,39.788893,-93.073091
204,PRINCETON KY,Supercenter,1500 US HIGHWAY 62 W,PRINCETON,KY,42445,158067,2/14/1978,37.120512,-87.85656229
205,PHILADELPHIA MS,Supercenter,1002 W BEACON ST,PHILADELPHIA,MS,39350,146398,3/28/1978,32.76950642,-89.12971772
206,MCKINNEY TX,Supercenter,2041 N REDBUD BLVD,MCKINNEY,TX,75069,203473,3/28/1978,33.17928,-96.60102
207,CLEVELAND OK,Supercenter,772 N AIRPORT RD,CLEVELAND,OK,74020,89734,3/21/1978,36.27348,-96.43008
208,BAXTER SPRINGS KS,Wal-Mart,2970 MILITARY AVE,BAXTER SPRINGS,KS,66713,32868,4/4/1978,37.00846852,-94.73662233
209,OZARK AR,Wal-Mart,1516 N 18TH ST,OZARK,AR,72949,31700,6/1/1978,35.50231686,-93.84467824
210,HOLDENVILLE OK,Wal-Mart,500 EAST HIGHWAY 270,HOLDENVILLE,OK,74848,50968,7/18/1978,35.08286293,-96.39514112
211,HILLSBORO TX,Supercenter,401 COKE AVE,HILLSBORO,TX,76645,149704,9/12/1978,32.00763767,-97.09870718
212,NORMAN OK,Supercenter,333 N INTERSTATE DR,NORMAN,OK,73069,221941,11/1/1977,35.23254908,-97.4831229
213,LITCHFIELD IL,Supercenter,1205 W FERDON ST,LITCHFIELD,IL,62056,185924,5/16/1978,39.1828161,-89.66866776
214,JASPER TX,Supercenter,800 W GIBSON ST,JASPER,TX,75951,184325,10/10/1978,30.90739716,-94.01518069
215,WINONA MS,Wal-Mart,620 S APPLEGATE ST,WINONA,MS,38967,44925,5/15/1979,33.47244866,-89.73562998
216,MARION IL,Supercenter,2802 OUTER ROAD DRIVE,MARION,IL,62959,216734,3/27/1979,37.722939,-88.873368
